timestamp,cpu_burstable,cpu_regular,weight,arrival_rate,predicted_burstable,predicted_regular,current_burstable,current_regular
1.61821E+12,0.309104818,0.619455968,0.5,3600,3,4,3,4
1.61821E+12,0.309557292,0.627970184,0.5,3140,3,4,3,4
1.61821E+12,0.322107491,0.626249546,0.5,3535,3,4,3,4
1.61821E+12,0.33394355,0.631264757,0.5,2610,2,3,3,4
1.61821E+12,0.458698677,0.686613479,0.5,2395,2,3,3,4
1.61821E+12,0.91046691,0.75789222,0.5,3785,3,4,3,4
1.61821E+12,0.198138587,0.735495083,0.5,4125,3,5,3,4
1.61821E+12,0.305243559,0.65260598,1,3775,3,4,3,5
1.61821E+12,0.442695941,0.617831949,0.5,3635,3,4,3,5
1.61821E+12,0.348411096,0.657255492,0.5,3500,3,4,3,5
1.61821E+12,0.305125367,0.611954962,0.5,3730,3,4,3,5
1.61821E+12,0.490019278,0.539872972,0.5,4240,3,5,3,5
1.61821E+12,0.599407208,0.509478362,0.5,3970,3,4,3,5
1.61821E+12,0.443686686,0.56801354,0.5,3685,3,4,3,5
1.61821E+12,0.296070453,0.601732371,0.5,4125,3,5,3,5
1.61821E+12,0.292416248,0.620917635,0.5,3900,3,4,3,5
1.61821E+12,0.300391197,0.618579167,0.5,3935,3,4,3,5
1.61821E+12,0.301030344,0.623042188,0.5,4095,3,5,3,5
1.61821E+12,0.315462133,0.614689685,0.5,4190,3,5,3,5
1.61821E+12,0.298342074,0.597225272,0.5,3960,3,4,3,5
1.61821E+12,0.274156477,0.593196913,0.5,4485,3,5,3,5
1.61821E+12,0.287608339,0.596071666,0.5,4155,3,5,3,5
1.61821E+12,0.311013819,0.604242732,0.5,4200,3,5,3,5
1.61821E+12,0.303390518,0.597443222,0.5,4480,3,5,3,5
1.61821E+12,0.304749729,0.606245019,0.5,4770,3,5,3,5
1.61821E+12,0.307632519,0.613107268,0.5,4450,3,5,3,5
1.61821E+12,0.305471278,0.615652864,0.5,4725,3,5,3,5
1.61821E+12,0.302817012,0.617281082,0.5,4260,3,5,3,5
1.61821E+12,0.31357009,0.62486384,0.5,4650,3,5,3,5
1.61821E+12,0.298056832,0.63006647,0.5,4650,3,5,3,5
1.61821E+12,0.284338188,0.649547337,0.5,4520,3,5,3,5
1.61821E+12,0.32720965,0.637938004,0.5,4480,3,5,3,5
1.61821E+12,0.349536083,0.629022928,0.5,3915,3,4,3,5
1.61821E+12,0.316217606,0.650119777,0.5,4915,3,5,3,5
1.61821E+12,0.287317196,0.653928493,0.5,4730,3,5,3,5
1.61821E+12,0.318816679,0.647989,0.5,4920,3,5,3,5
1.61821E+12,0.336215417,0.653670075,0.5,4715,3,5,3,5
1.61821E+12,0.326048862,0.663327813,0.5,4755,3,5,3,5
1.61821E+12,0.318991614,0.658812472,0.5,4270,3,5,3,5
1.61821E+12,0.351067933,0.656808449,0.5,4530,3,5,3,5
1.61821E+12,0.356598957,0.663303848,0.5,5395,3,5,3,5
1.61821E+12,0.346867597,0.669363829,0.5,4815,3,5,3,5
1.61821E+12,0.349768349,0.675724436,0.5,5310,3,5,3,5
1.61821E+12,0.344627274,0.676441326,0.5,4775,3,5,3,5
1.61821E+12,0.332574238,0.676801458,0.5,4845,3,5,3,5
1.61821E+12,0.313439126,0.69211901,0.5,5410,3,5,3,5
1.61821E+12,0.352296015,0.697153736,0.5,4955,3,5,3,5
1.61821E+12,0.382450256,0.688278176,0.5,5345,3,5,3,5
1.61821E+12,0.367526974,0.691111608,0.5,4765,3,5,3,5
1.61821E+12,0.332262733,0.702481065,0.5,4945,3,5,3,5
1.61821E+12,0.320136338,0.711711725,0.5,5250,3,5,3,5
1.61821E+12,0.350314416,0.703837886,0.5,4990,3,5,3,5
1.61821E+12,0.365967235,0.699661779,0.5,4740,3,5,3,5
1.61821E+12,0.338536556,0.713484956,0.5,5370,3,5,3,5
1.61821E+12,0.337161035,0.718108618,0.5,4815,3,5,3,5
1.61821E+12,0.393985585,0.711590653,0.5,5195,3,5,3,5
1.61821E+12,0.372072543,0.714849903,0.5,5330,3,5,3,5
1.61821E+12,0.365345387,0.724884512,0.5,4720,3,5,3,5
1.61821E+12,0.360179239,0.729379663,0.5,4960,3,5,3,5
1.61821E+12,0.354399513,0.72966127,0.5,5320,3,5,3,5
1.61821E+12,0.37321675,0.720847435,0.5,5780,3,5,3,5
1.61821E+12,0.406049047,0.730626773,0.5,1125,2,2,3,5
