timestamp,cpu_burstable,cpu_regular,cpu_total,weight,arrival_rate,predicted_burstable,predicted_regular,current_burstable,current_regular
1.61828E+12,0.452269193,0.423745735,0.438007464,1,2775,2,3,3,4
1.61828E+12,0.463150881,0.437472388,0.450311635,1,2806,2,3,3,4
1.61828E+12,0.453498002,0.435377291,0.444437646,1,3185,3,4,3,4
1.61828E+12,0.46246309,0.449163708,0.455813399,1,3296,3,4,3,4
1.61828E+12,0.458440307,0.454079832,0.456260069,1,2950,2,3,3,4
1.61828E+12,0.451798217,0.452097411,0.451947814,1,3125,3,4,3,4
1.61828E+12,0.475348063,0.465671179,0.470509621,1,3131,3,4,3,4
1.61828E+12,0.457848654,0.475725889,0.466787271,1,3592,3,4,3,4
1.61828E+12,0.469869818,0.479771056,0.474820437,1,3320,3,4,3,4
1.61828E+12,0.506863487,0.468287048,0.487575267,1,3660,3,4,3,4
1.61828E+12,0.470326843,0.484299758,0.4773133,1,4000,3,4,3,4
1.61828E+12,0.422784545,0.49613648,0.459460513,1,3440,3,4,3,4
1.61828E+12,0.446173604,0.479537007,0.462855306,1,3895,3,4,3,4
1.61828E+12,0.479269418,0.464741847,0.472005633,1,3705,3,4,3,4
1.61828E+12,0.475503921,0.478472089,0.476988005,1,3855,3,4,3,4
1.61828E+12,0.471645746,0.487312914,0.47947933,1,3505,3,4,3,4
1.61828E+12,0.499120755,0.475961187,0.487540971,1,3715,3,4,3,4
1.61828E+12,0.510996085,0.473549312,0.492272698,1,3695,3,4,3,4
1.61828E+12,0.509944347,0.479619065,0.494781706,1,3630,3,4,3,4
1.61828E+12,0.496420342,0.505651352,0.501035847,1,3860,3,4,3,4
1.61828E+12,0.492741357,0.506213419,0.499477388,1,4035,3,5,3,4
1.61828E+12,0.493835565,0.507427241,0.500631403,1,3805,3,4,3,5
1.61828E+12,0.510484707,0.508235298,0.509360002,1,3830,3,4,3,5
1.61828E+12,0.537150701,0.49920506,0.51817788,1,4055,3,5,3,5
1.61828E+12,0.519483745,0.467567507,0.493525626,1,4145,3,5,3,5
1.61828E+12,0.503997024,0.471859259,0.487928142,1,3950,3,4,3,5
1.61828E+12,0.489247794,0.475439254,0.482343524,1,3980,3,4,3,5
1.61828E+12,0.510369519,0.469766468,0.490067993,1,4300,3,5,3,5
1.61828E+12,0.50806291,0.480185723,0.494124316,1,4108,3,5,3,5
1.61828E+12,0.487057302,0.49428438,0.490670841,1,4593,3,5,3,5
1.61828E+12,0.485594991,0.50241657,0.49400578,1,4413,3,5,3,5
1.61828E+12,0.499517401,0.499587991,0.499552696,1,4248,3,5,3,5
1.61828E+12,0.520411696,0.48963855,0.505025123,1,4550,3,5,3,5
1.61828E+12,0.521705574,0.498505604,0.510105589,1,4523,3,5,3,5
1.61828E+12,0.515636893,0.496831912,0.506234403,1,4134,3,5,3,5
1.61828E+12,0.507508747,0.484352981,0.495930864,1,4733,3,5,3,5
1.61828E+12,0.506552363,0.479734313,0.493143338,1,4412,3,5,3,5
1.61828E+12,0.484085957,0.488070244,0.486078101,1,4728,3,5,3,5
1.61828E+12,0.516628247,0.499135655,0.507881951,1,4632,3,5,3,5
1.61828E+12,0.501953315,0.4972289,0.499591108,1,4416,3,5,3,5
1.61828E+12,0.514407776,0.504349264,0.50937852,1,4872,3,5,3,5
1.61828E+12,0.530295344,0.502456344,0.516375844,1,4705,3,5,3,5
1.61828E+12,0.522737371,0.509223096,0.515980234,1,4565,3,5,3,5
1.61828E+12,0.510238543,0.51627793,0.513258236,1,4824,3,5,3,5
1.61828E+12,0.517741353,0.524791906,0.52126663,1,4971,3,5,3,5
1.61828E+12,0.523316603,0.522177059,0.522746831,1,5024,3,5,3,5
1.61828E+12,0.523269754,0.530450548,0.526860151,1,4800,3,5,3,5
1.61828E+12,0.540894691,0.523721405,0.532308048,1,5368,3,5,3,5
1.61828E+12,0.542982709,0.534475071,0.53872889,1,4835,3,5,3,5
1.61828E+12,0.5272757,0.541150394,0.534213047,1,5365,3,5,3,5
1.61828E+12,0.523529893,0.551866227,0.53769806,1,5463,3,5,3,5
1.61828E+12,0.521567947,0.554721678,0.538144813,1,5162,3,5,3,5
1.61828E+12,0.537441397,0.5502712,0.543856298,1,5075,3,5,3,5
1.61828E+12,0.557703138,0.539898032,0.548800585,1,5808,3,5,3,5
1.61828E+12,0.537238178,0.565341331,0.551289755,1,5165,3,5,3,5
1.61828E+12,0.546858668,0.565871739,0.556365204,1,5560,3,5,3,5
