timestamp,cpu_burstable,cpu_regular,weight,arrival_rate,predicted_burstable,predicted_regular,current_burstable,current_regular
"1620740438539","0.0","0.0","1.0","0","1","1","1","1"
"1620740502302","0.11491005580417493","0.0","1.0","0","1","1","1","1"
"1620740565797","0.40378048860429594","0.33970492720274953","1.0","510","1","1","1","1"
"1620740629320","0.3429338291140794","0.06519180602187061","1.0","700","1","1","1","1"
"1620740693045","0.4291603435376231","0.31144756775173943","1.0","358","1","1","1","1"
"1620740757370","0.2470665972453413","0.3570662016975297","1.0","807","1","1","1","1"
"1620740820744","0.35560420212078675","0.04918213641215606","1.0","700","1","1","1","1"
"1620740884104","0.46452991989093634","0.22851253656313042","1.0","800","1","1","1","1"
"1620740955394","0.35779220344754825","0.3965483005204753","1.0","1185","2","2","1","1"
"1620741018789","0.5669386620596275","0.349531285786297","1.0","1395","2","2","2","2"
"1620741082327","0.8643931814333115","0.7082705363370925","1.0","1585","2","2","2","2"
"1620741145862","0.6124627631892056","0.5447334668825357","1.0","1995","2","2","2","2"
"1620741212932","0.6526798322681335","0.560406925229885","1.0","2429","2","3","2","2"
"1620741276812","0.5897503125606836","0.6039656557198335","1.0","2879","2","3","2","3"
"1620741347793","0.6529389838543922","0.5997863735326661","1.0","3343","3","4","2","3"
"1620741411297","0.6936372537796955","0.46270101050079376","1.0","3320","3","4","3","4"
"1620741474707","0.7193144713121872","0.6239125014812872","1.0","3675","3","4","3","4"
"1620741543807","0.7203111493719356","0.46168657861165957","1.0","4462","3","5","3","4"
"1620741607438","0.6126583884586256","0.6251926986897793","1.0","4836","3","5","3","5"
"1620741671020","0.6084777277732388","0.6175854820477469","1.0","4717","3","5","3","5"
"1620741735469","0.6439625677830493","0.5901620092828416","1.0","4848","3","5","3","5"
"1620741798898","0.661778796434763","0.5917969289578042","1.0","5253","3","5","3","5"
"1620741862377","0.6302562362439424","0.6269340926567872","1.0","5914","3","5","3","5"
"1620741925909","0.6603453770183109","0.6502303820332939","1.0","6449","3","5","3","5"
"1620741989640","0.6520338932176","0.6313955228929373","1.0","5073","3","5","3","5"
"1620742056917","0.4517136780283077","0.5392578766036025","1.0","2719","2","3","3","5"
"1620742121019","0.17895496376898892","0.2560583778533291","1.0","561","1","1","2","5"
"1620742188197","0.07579292002714592","0.08554218993937562","1.0","397","1","1","2","5"
"1620742251748","0.07224341590168737","0.06978305970682337","1.0","744","1","1","1","4"
"1620742317042","0.05399721509641103","0.0545731219239904","1.0","485","1","1","1","4"
"1620742380401","0.04645909128592476","0.06784631541413622","1.0","737","1","1","1","3"
"1620742445730","0.12284800932100666","0.08633613968882681","1.0","611","1","1","1","3"
"1620742509423","0.12281417600659476","0.09462550060755366","1.0","578","1","1","1","2"
"1620742574838","0.0920219118421727","0.09913365317933157","1.0","578","1","1","1","2"
"1620742638755","0.13299174856514828","0.09781399413273088","1.0","636","1","1","1","1"
"1620742702229","0.1281864725900192","0.11961958327733302","1.0","632","1","1","1","1"
"1620742765876","0.16521580807397052","0.12408042442757171","1.0","425","1","1","1","1"
"1620742829629","0.18995599442286562","0.18882424956469446","1.0","627","1","1","1","1"
"1620742893322","0.23664612855689976","0.23186841616903658","1.0","640","1","1","1","1"
"1620742956912","0.24070685968365998","0.22358095282512902","1.0","451","1","1","1","1"
"1620743020708","0.23232130437054554","0.2490433752081098","1.0","778","1","1","1","1"
"1620743084036","0.23197340560525484","0.23715282767995327","1.0","580","1","1","1","1"
"1620743147582","0.23916507945950988","0.22388709757964118","1.0","705","1","1","1","1"
"1620743211169","0.22932735247346536","0.23888001088492766","1.0","579","1","1","1","1"
"1620743274764","0.229961891985342","0.23845693975440174","1.0","540","1","1","1","1"
"1620743338285","0.23446293707134486","0.2351922359231177","1.0","730","1","1","1","1"
"1620743402073","0.23183735866405564","0.23805923166664797","1.0","715","1","1","1","1"
